Time,ActivePower,AmbientTemperatue,ReactivePower,WindSpeed
2018-01-08 18:20:00+00:00,861.8592639,21.54143222,177.7150033,7.126916389
2018-01-08 18:30:00+00:00,950.4016221,21.41147141,192.999711,7.571766888
2018-01-08 18:40:00+00:00,985.0123418,21.38065007,200.0109684,7.461032411
2018-01-08 18:50:00+00:00,1040.793451,21.32688429,210.8337163,7.684842029
2018-01-08 19:00:00+00:00,1088.760928,21.27673254,222.0875335,7.743801356
2018-01-08 19:10:00+00:00,1030.024618,21.25913914,208.5006439,7.587496139
2018-01-08 19:20:00+00:00,1050.9317,21.2717765,217.86799,6.6207498
2018-01-08 19:30:00+00:00,1096.072375,21.19505118,222.3488463,7.714797826
2018-01-08 19:40:00+00:00,1155.145728,21.21091604,233.3619321,7.839376849
2018-01-08 19:50:00+00:00,1204.190836,21.21163357,244.1950398,7.877897966
2018-01-08 20:00:00+00:00,1208.050981,21.2001066,246.1215377,8.090399514
2018-01-08 20:10:00+00:00,1122.294331,21.16828082,228.9117866,7.789044376
2018-01-08 20:20:00+00:00,1087.994924,21.13322798,220.4762745,7.692189321
2018-01-08 20:30:00+00:00,1028.7902,21.09800667,209.063895,7.677666258
2018-01-08 20:40:00+00:00,914.6936368,21.06434011,184.7138729,7.456760475
2018-01-08 20:50:00+00:00,859.3459807,21.05398617,174.5119176,7.240534195
2018-01-08 21:00:00+00:00,826.5009453,21.03680749,167.3967589,7.036094491
2018-01-08 21:10:00+00:00,810.4320777,21.03789768,165.0056619,7.097341851
2018-01-08 21:20:00+00:00,818.5104181,21.03620631,165.1194741,7.115332545
2018-01-08 21:30:00+00:00,825.2769354,21.03805711,167.2937293,7.017471268
2018-01-08 21:40:00+00:00,775.1416029,20.92571354,157.0168657,6.821253439
2018-01-08 21:50:00+00:00,767.3343798,20.9137205,156.2438372,7.03677214
2018-01-08 22:00:00+00:00,637.9290972,20.84595321,129.5353078,6.474472253
2018-01-08 22:10:00+00:00,623.9028021,20.79261705,126.5023266,6.395439096
2018-01-08 22:20:00+00:00,548.7966912,20.7831609,111.668531,6.239041183
2018-01-08 22:30:00+00:00,581.5673318,20.74635082,117.9462137,6.477136686
2018-01-08 22:40:00+00:00,609.6767639,20.71474288,123.1553355,6.432522656
2018-01-08 22:50:00+00:00,629.1905857,20.65735931,127.2618758,6.408561736
2018-01-08 23:00:00+00:00,583.4626631,20.6122386,117.7535958,6.332359369
2018-01-08 23:10:00+00:00,504.8940575,20.59217243,102.6546669,6.080949875
2018-01-08 23:20:00+00:00,461.0469231,20.57876472,93.60237169,5.861141214
2018-01-08 23:30:00+00:00,369.9500656,20.5489646,74.98655513,5.586034336
2018-01-08 23:40:00+00:00,296.7915136,20.5359355,60.00858271,5.25468905
2018-01-08 23:50:00+00:00,313.7005679,20.48003345,63.1566131,5.435246367
2018-01-09 00:00:00+00:00,340.6301755,20.44365286,68.95802362,5.452246348
2018-01-09 00:10:00+00:00,286.8681986,20.33119961,58.46921534,5.248926611
2018-01-09 00:20:00+00:00,293.152996,20.15711795,59.01906859,5.143213597
2018-01-09 00:30:00+00:00,270.6285818,20.00132028,55.03601714,5.09920507
2018-01-09 00:40:00+00:00,264.6578923,20.0355574,53.32243196,5.120508589
2018-01-09 00:50:00+00:00,299.9864263,20.09987837,60.1474545,5.282493117
2018-01-09 01:00:00+00:00,245.2036873,20.07593568,49.51484817,4.870172995
2018-01-09 01:10:00+00:00,231.7314789,19.97644414,47.88261114,4.778671282
2018-01-09 01:20:00+00:00,194.0918091,19.86162876,39.37671026,4.651813655
2018-01-09 01:30:00+00:00,273.2412617,19.954667,54.73765342,5.073574792
2018-01-09 01:40:00+00:00,267.987127,19.94296745,53.37306115,5.255394785
