,ActivePower,GeneratorRPM,MainBoxTemperature,WindSpeed
2020-03-08 10:50:00+00:00,595.56723,1236.467467,45.828125,6.182872039
2020-03-08 11:00:00+00:00,644.9708274,1296.026333,45.921875,6.440689347
2020-03-08 11:10:00+00:00,808.6705459,1411.022413,45.87502429,7.168605465
2020-03-08 11:20:00+00:00,792.1803382,1361.270122,45.671875,6.837670418
2020-03-08 11:30:00+00:00,715.4355595,1323.961667,45.52674325,6.521931437
2020-03-08 11:40:00+00:00,715.6605917,1327.973133,45.41316625,6.452510967
2020-03-08 11:50:00+00:00,751.5248747,1353.582244,45.32812688,6.456436616
2020-03-08 12:00:00+00:00,840.6236024,1318.547088,45.18191725,6.676335135
2020-03-08 12:10:00+00:00,812.1429374,1392.77881,44.9498528,7.200678784
2020-03-08 12:20:00+00:00,855.3570628,1421.78485,44.75,6.948583139
2020-03-08 12:30:00+00:00,1185.193627,1547.45779,44.58367011,7.772021867
2020-03-08 12:40:00+00:00,850.9575105,1408.502911,44.45344788,6.809094553
2020-03-08 12:50:00+00:00,886.0865189,1456.086133,44.35187438,7.0669261
2020-03-08 13:00:00+00:00,1396.149717,1654.472211,44.1484375,8.091043911
2020-03-08 13:10:00+00:00,1629.965995,1729.559133,43.976563,8.984346789
2020-03-08 13:20:00+00:00,1615.750406,1728.931356,44.00026413,8.480927339
2020-03-08 13:30:00+00:00,1253.095198,1606.993356,44.0321185,8.131146926
2020-03-08 13:40:00+00:00,1330.352933,1609.991211,43.921875,8.25769454
2020-03-08 13:50:00+00:00,1052.839875,1455.245633,43.76562625,7.209971917
2020-03-08 14:00:00+00:00,1325.910829,1616.1631,43.49271538,8.044723012
2020-03-08 14:10:00+00:00,1394.158581,1665.549144,43.260439,8.201236395
2020-03-08 14:20:00+00:00,1442.447225,1602.8578,43.08357,8.500054922
2020-03-08 14:30:00+00:00,1395.307326,1633.9784,43.00876125,7.689204858
2020-03-08 14:40:00+00:00,1264.606844,1569.679,42.85299044,7.955882978
2020-03-08 14:50:00+00:00,1595.750795,1717.733489,42.6787525,8.329894465
2020-03-08 15:00:00+00:00,1497.014661,1668.61713,42.625,8.212033028
2020-03-08 15:10:00+00:00,1241.084797,1579.1542,42.57291667,7.609176276
2020-03-08 15:20:00+00:00,1649.5157,1724.955756,42.406488,8.427378432
2020-03-08 15:30:00+00:00,1644.8521,1725.87739,42.2875004,8.867420274
2020-03-08 15:40:00+00:00,1568.267978,1687.437489,42.18750125,8.375532811
2020-03-08 15:50:00+00:00,1163.021265,1572.401788,42.08928629,7.573464371
2020-03-08 16:00:00+00:00,1704.326067,1758.405144,41.83929657,9.077482756
2020-03-08 16:10:00+00:00,1532.833916,1675.706222,41.64895475,8.233973205
2020-03-08 16:20:00+00:00,1101.96595,1463.281956,41.609375,7.489010739
2020-03-08 16:30:00+00:00,1263.210648,1558.134354,41.36960283,7.802105122
2020-03-08 16:40:00+00:00,1127.589483,1531.843359,41.07442475,7.48653305
2020-03-08 16:50:00+00:00,1185.910385,1566.620333,40.69116,7.729955217
2020-03-08 17:00:00+00:00,1190.351561,1543.077533,40.359375,7.518983905
2020-03-08 17:10:00+00:00,1123.420986,1532.451723,40.12436267,7.285282012
2020-03-08 17:20:00+00:00,1176.864747,1567.07369,39.89873389,7.837862753
2020-03-08 17:30:00+00:00,1010.760038,1457.669267,39.68793675,7.355255356
2020-03-08 17:40:00+00:00,992.98327,1469.061012,39.46501486,7.490999506
2020-03-08 17:50:00+00:00,1385.455578,1647.677963,39.17937188,8.406921739
2020-03-08 18:00:00+00:00,1339.303474,1618.99707,38.97217,8.045257542
2020-03-08 18:10:00+00:00,1524.727056,1704.33405,38.90157857,8.52946605
2020-03-08 18:20:00+00:00,1456.784595,1665.20634,38.89552178,8.471446937
2020-03-08 18:30:00+00:00,1327.256506,1613.297344,38.882812,7.810752588
